"===================================================================================================="
"29/06/2020 12:20:30"
"python calibrate.py --seed vd0 --country CH --area VD --rollouts 96 --ninit 20 --niters 80"
"===================================================================================================="
"Downsampling :                    10"
"Simulation population:            13908"
"Simulation population (unscaled): 139056"
"Area population :                 799145"
"Initial seed counts :             {'expo': 30, 'isym_posi': 9, 'iasy': 6}"
"Target cases per age group at t=0:   9.0 [0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0]"
"Target cases per age group at t=T:   950.0 [3.0, 19.0, 110.0, 122.0, 143.0, 185.0, 125.0, 100.0, 143.0]"
"Daily test capacity in sim.:         54"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 1.5], 'beta_household': [0.0, 1.5], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-07 00:00:00"
"             ends at : 2020-05-12 00:00:00"
"Lockdown   starts at : 2020-03-16 00:00:00"
"             ends at : 2020-05-10 00:00:00"
"Cases compared until : 2020-05-10 00:00:00"
"            for days : 64"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
"  35"," -25098.1860","-402985.9080"," -844","  0.0702","  0.4876","  0.5888","  6.3768"
"  36"," -25098.1860","-441385.9770"," -882","  0.0204","  0.6640","  0.6174","  4.6428"
"  37"," -25098.1860","-322265.7316"," -764","  0.2095","  0.3936","  0.8585"," 10.0720"
"  38"," -25098.1860","-453945.8833"," -894","  0.0000","  0.7382","  0.7475","  4.1158"
"  39"," -25098.1860","-249493.9348","  762","  0.3359","  1.0281","  0.1384","179.4959"
"  40"," -25098.1860"," -89821.8759","  351","  0.7367","  0.6193","  0.0585","220.0256"
"  41"," -25098.1860"," -77373.5577","  313","  1.4391","  1.1414","  0.7459","155.8748"
"  42"," -25098.1860","-118370.2740","  466","  1.2921","  0.1538","  0.9196"," 64.8431"
"  43"," -25098.1860","-261224.6903"," -697","  0.3256","  0.4375","  0.9996"," 12.9235"
"  44"," -25098.1860","-150442.6515","  575","  1.4702","  0.5707","  0.8893"," 96.0947"
"  45"," -25098.1860","-234709.4070"," 1249","  0.2247","  1.0471","  0.2826"," 84.1229"
"  46"," -25098.1860","-155771.6326"," -548","  0.3493","  1.1677","  0.8222"," 19.1031"
"  47"," -25098.1860"," -84743.8077","  325","  1.4214","  0.4025","  0.5372","201.4392"
"  48"," -25098.1860"," -98747.3737"," -454","  0.4571","  1.3366","  0.8752"," 23.6438"
"  49"," -25098.1860","-162838.2613","  532","  0.5723","  0.8122","  0.2430","199.6639"
"  50"," -25098.1860","-422225.1821"," -865","  0.0445","  1.0808","  0.7162","  5.7118"
"  51"," -25098.1860"," -55808.0322","  232","  1.2803","  0.9490","  0.3326","218.8902"
"  52"," -25098.1860"," -72909.7811","  293","  1.1636","  0.4917","  0.2688","221.0420"
"  53"," -25098.1860","-476673.3834"," 1237","  1.4278","  0.0864","  0.7228","128.8268"
"  54"," -25098.1860","-127250.0952","  540","  1.3746","  1.1279","  0.8703","101.4850"
"  55"," -25098.1860","-178775.5682"," -496","  0.1968","  0.9899","  0.5156"," 20.1342"
"  56"," -25098.1860","-114712.6514","  481","  0.8337","  1.1466","  0.8347"," 62.6247"
"  57"," -25098.1860","-127711.0175","  443","  1.1213","  0.9609","  0.6534","163.3803"
"  58"," -25098.1860"," -79768.5352","  315","  0.8946","  1.0463","  0.2317","217.8060"
"  59"," -25098.1860","-283749.6143","  978","  1.1654","  1.0674","  0.8013","112.6645"
