"===================================================================================================="
"04/12/2020 19:09:48"
"python calibrate.py --seed ti0-beacon --country CH --area TI --rollouts 200 --ninit 20 --niters 80"
"===================================================================================================="
"Downsampling :                    2"
"Simulation population:            7912"
"Simulation population (unscaled): 15824"
"Area population :                 353343"
"Initial seed counts :             {'expo': 20, 'isym_posi': 6, 'iasy': 4}"
"Target cases per age group at t=0:   6.0 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"Target cases per age group at t=T:   145.0 [1.0, 3.0, 12.0, 15.0, 20.0, 29.0, 17.0, 19.0, 29.0]"
"Daily test capacity in sim.:         8"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 0.20000000298023224], 'beta_household': [0.0, 0.20000000298023224], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-09 00:00:00"
"             ends at : 2020-05-12 00:00:00"
"Lockdown   starts at : 2020-03-16 00:00:00"
"             ends at : 2020-05-10 00:00:00"
"Cases compared until : 2020-05-10 00:00:00"
"            for days : 62"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
"  34","    -91.0157","  -1831.8714","   45","  0.0968","  0.1367","  0.4288"," 30.6060"
"  35","    -91.0157","  -2353.2597","   57","  0.1385","  0.0067","  0.3185"," 38.6248"
"  36","    -91.0157","  -1104.9378","   31","  0.1898","  0.0892","  0.7283"," 25.4297"
"  37","    -91.0157","  -1891.8265","   47","  0.1027","  0.1095","  0.4284"," 32.6007"
"  38","    -91.0157","   -240.5056","  -27","  0.0375","  0.1438","  0.9044","  7.4944"
"  39","    -91.0157","  -2132.6947","   56","  0.1035","  0.1455","  0.7672"," 14.1651"
"  40","    -91.0157","   -366.1471","  -18","  0.0562","  0.0028","  0.5103","  7.7986"
"  41","    -73.9299","    -73.9299","  -12","  0.0470","  0.1135","  0.8587","  8.0122"
"  42","    -73.9299","  -1081.4511","   28","  0.1672","  0.0898","  0.9548"," 16.6215"
"  43","    -73.9299","    -76.9518","  -14","  0.0390","  0.1836","  0.7916","  7.7006"
"  44","    -40.0079","    -40.0079","   -4","  0.0185","  0.1891","  0.2496","  8.0449"
"  45","    -40.0079","  -1179.4229","   31","  0.1711","  0.0789","  0.9530"," 15.7083"
"  46","    -40.0079","  -1168.6599","   31","  0.1632","  0.1417","  0.8943"," 17.7788"
"  47","    -40.0079","  -1166.3298","   30","  0.1321","  0.1527","  0.3531"," 48.4420"
"  48","    -40.0079","  -4520.2231","  102","  0.0666","  0.1671","  0.4576"," 19.4199"
"  49","    -40.0079","  -1201.9355","   31","  0.1246","  0.1542","  0.2021"," 55.3914"
"  50","    -40.0079","   -873.4384","   22","  0.1822","  0.1236","  0.2245"," 65.0481"
"  51","    -40.0079","  -1044.6137","   27","  0.1418","  0.1404","  0.1008"," 64.4799"
"  52","    -40.0079","  -2292.5835","   64","  0.1957","  0.0090","  0.6593"," 24.7468"
"  53","    -40.0079","  -1132.9381","   32","  0.1830","  0.1367","  0.7368"," 26.7848"
"  54","    -40.0079","  -1131.7906","   29","  0.1281","  0.1475","  0.2001"," 56.4945"
"  55","    -40.0079","  -4800.4294","  111","  0.0690","  0.0942","  0.4922"," 17.7992"
"  56","    -40.0079","  -2070.0070","   51","  0.1342","  0.0071","  0.2972"," 40.5863"
"  57","    -40.0079","  -4122.1050","  -90","  0.0111","  0.0591","  0.9367","  6.2695"
"  58","    -40.0079","  -1140.5120","   32","  0.1783","  0.1662","  0.6835"," 29.5183"
"  59","    -40.0079","  -3514.0255","   85","  0.0731","  0.1355","  0.4615"," 20.7963"
"  60","    -40.0079","  -1405.0038","   37","  0.1355","  0.1231","  0.5517"," 31.2545"
"  61","    -40.0079","   -890.3855","   23","  0.1779","  0.1222","  0.0646"," 72.3436"
"  62","    -40.0079","  -1315.7168","   37","  0.1570","  0.0836","  0.6493"," 27.9044"
"  63","    -40.0079","  -2090.9039","   53","  0.1123","  0.0322","  0.4417"," 31.8346"
"  64","    -40.0079","  -2472.0783","   93","  0.0376","  0.0274","  0.3674"," 10.6336"
"  65","    -40.0079","  -1139.2293","   33","  0.1927","  0.1176","  0.7215"," 28.1201"
"  66","    -40.0079","  -1286.0394","   33","  0.1248","  0.1615","  0.3844"," 44.6948"
"  67","    -40.0079","  -1088.6638","  -51","  0.0273","  0.1073","  0.7263","  7.2195"
"  68","    -40.0079","  -1533.2810","   39","  0.1425","  0.0570","  0.5374"," 33.5096"
"  69","    -40.0079","  -7567.6784","  161","  0.0820","  0.0033","  0.3036"," 19.1144"
"  70","    -40.0079","  -2524.0784","   60","  0.0867","  0.0274","  0.2221"," 39.3805"
"  71","    -40.0079","  -2878.1946","   73","  0.0916","  0.0558","  0.4812"," 25.4983"
"  72","    -40.0079","  -1002.7356","   26","  0.1765","  0.1436","  0.5837"," 37.9374"
"  73","    -40.0079","   -152.0336","   10","  0.0696","  0.0001","  0.3641","  9.1270"
"  74","    -40.0079","  -1231.5178","   36","  0.1672","  0.1545","  0.7580"," 23.2179"
"  75","    -40.0079","  -1290.6757","   33","  0.1333","  0.1951","  0.4315"," 42.0173"
"  76","    -40.0079","  -2315.9769","   60","  0.1124","  0.0322","  0.4892"," 29.4639"
"  77","    -40.0079","  -5956.6866","  129","  0.0820","  0.0113","  0.3787"," 22.8571"
"  78","    -40.0079","  -2667.4224","   74","  0.1432","  0.0061","  0.7832"," 12.9559"
"  79","    -40.0079","  -2850.2922","   73","  0.0648","  0.1199","  0.6676"," 12.4599"
