"===================================================================================================="
"27/11/2020 11:16:48"
"python calibrate.py --seed tu0 --country GER --area TU --rollouts 96 --ninit 20 --niters 120 --cpu_count 24 --load /u/hkremer/covid19/simulator/sim/logs/calibration_tu0_state.pk"
"===================================================================================================="
"Downsampling :                    10"
"Simulation population:            9054"
"Simulation population (unscaled): 90546"
"Area population :                 227331"
"Initial seed counts :             {'expo': 30, 'isym_posi': 9, 'iasy': 6}"
"Target cases per age group at t=0:   9.0 [0.0, 1.0, 2.0, 5.0, 1.0, 0.0]"
"Target cases per age group at t=T:   491.0 [4.0, 6.0, 128.0, 196.0, 96.0, 61.0]"
"Daily test capacity in sim.:         72"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 15.0], 'beta_household': [0.0, 15.0], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-12 00:00:00"
"             ends at : 2020-05-05 00:00:00"
"Lockdown   starts at : 2020-03-23 00:00:00"
"             ends at : 2020-05-03 00:00:00"
"Cases compared until : 2020-05-03 00:00:00"
"            for days : 52"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
"  34","   -408.1872","  -4564.2098"," -113","  7.8145","  2.6722","  0.7258","  0.0000"
"  35","   -408.1872"," -56674.0671"," -312","  4.4415","  0.1715","  0.1401","  0.0000"
"  36","   -408.1872"," -53005.4953"," -328","  3.3226","  6.6769","  0.6501","  0.0000"
"  37","   -408.1872"," -47616.0322"," -304","  3.1930","  7.4495","  0.3108","  0.0000"
"  38","   -408.1872","  -5107.2027","  -65","  5.1311","  5.7028","  0.2002","  0.0000"
"  39","   -408.1872"," -81160.0566"," -398","  1.4312","  5.5023","  0.9684","  0.0000"
"  40","   -408.1872"," -94440.3505"," -423","  4.6534","  0.0000","  0.2438","  0.0000"
"  41","   -408.1872"," -79286.2153"," -391","  1.3391","  2.6614","  0.0913","  0.0000"
"  42","   -408.1872"," -30022.5881"," -255","  4.7422"," 14.5193","  0.7014","  0.0000"
"  43","   -408.1872","-208113.5324","  677"," 12.2483","  6.4845","  0.4599","  0.0000"
"  44","   -408.1872","-128218.5945","  481"," 12.4667","  5.5078","  0.5768","  0.0000"
"  45","   -408.1872"," -83740.4851"," -404","  1.3880","  1.1365","  0.8697","  0.0000"
"  46","   -408.1872","  -2586.9580","  -85","  7.1971"," 11.9340","  0.6101","  0.0000"
"  47","   -408.1872"," -74866.6117"," -383","  1.8165","  4.8660","  0.4432","  0.0000"
"  48","   -408.1872"," -50308.6559"," -322","  3.8824","  1.7970","  0.9319","  0.0000"
"  49","   -408.1872","-226996.0712","  855"," 12.5805","  0.8486","  0.3074","  0.0000"
"  50","   -408.1872","  -3669.7415","   43"," 11.1028","  0.9796","  0.7373","  0.0000"
"  51","   -408.1872","-348084.8699","  961"," 12.8222","  3.2078","  0.3633","  0.0000"
"  52","   -408.1872"," -97590.1271"," -432","  0.2319","  2.6365","  0.8441","  0.0000"
"  53","   -408.1872","-364036.1730"," 1062"," 11.0239","  5.2402","  0.2302","  0.0000"
"  54","   -408.1872"," -15440.8907","  127"," 10.5182","  4.3934","  0.6931","  0.0000"
"  55","   -408.1872"," -86346.3233"," -408","  1.2657","  1.0198","  0.4944","  0.0000"
"  56","   -408.1872"," -26579.0563"," -169","  4.9180","  0.2935","  0.0190","  0.0000"
