"===================================================================================================="
"27/11/2020 11:16:48"
"python calibrate.py --seed ti0 --country CH --area TI --rollouts 96 --ninit 20 --niters 120 --cpu_count 24 --load /u/hkremer/covid19/simulator/sim/logs/calibration_ti0_state.pk"
"===================================================================================================="
"Downsampling :                    2"
"Simulation population:            7912"
"Simulation population (unscaled): 15824"
"Area population :                 353343"
"Initial seed counts :             {'expo': 20, 'isym_posi': 6, 'iasy': 4}"
"Target cases per age group at t=0:   6.0 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"Target cases per age group at t=T:   145.0 [1.0, 3.0, 12.0, 15.0, 20.0, 29.0, 17.0, 19.0, 29.0]"
"Daily test capacity in sim.:         8"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 15.0], 'beta_household': [0.0, 15.0], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-09 00:00:00"
"             ends at : 2020-05-12 00:00:00"
"Lockdown   starts at : 2020-03-16 00:00:00"
"             ends at : 2020-05-10 00:00:00"
"Cases compared until : 2020-05-10 00:00:00"
"            for days : 62"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
"  34","    -71.0950","   -341.5911","   12","  8.3870","  8.1634","  0.8641","  0.0000"
"  35","    -71.0950","  -5756.3220"," -104","  0.4308","  4.2197","  0.7360","  0.0000"
"  36","    -71.0950","  -6715.6491","  141","  6.7439"," 11.8976","  0.3399","  0.0000"
"  37","    -71.0950","  -3017.6956","   68"," 11.8341","  0.9142","  0.3623","  0.0000"
"  38","    -71.0950","  -5459.6961","  118","  8.1427"," 10.6378","  0.4649","  0.0000"
"  39","    -71.0950","  -1636.5229","   40"," 12.1127"," 11.3944","  0.1721","  0.0000"
"  40","    -71.0950","  -1922.9576","   49"," 13.7987","  6.0337","  0.8155","  0.0000"
"  41","    -71.0950","  -5699.6996","  121","  7.7494"," 10.7573","  0.3528","  0.0000"
"  42","    -71.0950","  -4495.7448","  104"," 10.5761","  5.5550","  0.5481","  0.0000"
"  43","    -71.0950","  -1884.1037","   50"," 14.9377","  9.2747","  0.5887","  0.0000"
"  44","    -71.0950","  -1466.3171","   58","  5.0791","  5.2711","  0.4452","  0.0000"
"  45","    -71.0950","  -1364.7408","   35"," 14.3264","  6.9080","  0.0435","  0.0000"
"  46","    -71.0950","  -3128.6184","   70","  8.5102"," 11.0171","  0.1893","  0.0000"
"  47","    -71.0950","  -2897.6125","   75"," 12.8523"," 12.1650","  0.5868","  0.0000"
"  48","    -71.0950","  -2235.3305","   53"," 12.0368"," 11.4464","  0.4361","  0.0000"
"  49","    -71.0950","   -130.9224","   -3","  7.1348"," 10.4887","  0.9825","  0.0000"
"  50","    -71.0950","  -2257.7940","   52"," 10.0815","  2.3441","  0.1674","  0.0000"
"  51","    -71.0950","  -5428.6669","  116","  5.8037"," 13.4742","  0.1430","  0.0000"
"  52","    -71.0950","  -1842.2324","   45"," 10.2496","  2.6199","  0.0137","  0.0000"
"  53","    -71.0950","  -2280.2428","   60"," 11.2788","  7.4558","  0.7469","  0.0000"
"  54","    -71.0950","  -5311.2346","  110","  6.9325"," 14.3035","  0.2446","  0.0000"
"  55","    -71.0950","  -2301.3960","   54","  9.7716"," 11.7384","  0.2178","  0.0000"
"  56","    -71.0950","  -3771.8851","  -86","  1.8451","  7.9833","  0.9474","  0.0000"
"  57","    -71.0950","  -1688.8471","   44"," 12.2235"," 14.5660","  0.8330","  0.0000"
"  58","    -71.0950","  -2111.7803","   51"," 11.8315","  5.5871","  0.3527","  0.0000"
"  59","    -71.0950","  -1762.2292","   43"," 14.8040","  5.4441","  0.3320","  0.0000"
"  60","    -71.0950","  -1519.1975","   37"," 12.2759","  5.9610","  0.0140","  0.0000"
"  61","    -71.0950","  -1770.2375","   43"," 11.9739","  2.0427","  0.0657","  0.0000"
"  62","    -71.0950","  -3385.8118","   80"," 10.5918","  5.8409","  0.6606","  0.0000"
"  63","    -71.0950","   -968.6408","   40","  6.0541","  8.7793","  0.5725","  0.0000"
"  64","    -71.0950","  -1064.3206","  -48","  2.2644"," 10.8761","  0.3813","  0.0000"
"  65","    -71.0950","  -2882.3518","   74","  7.5820"," 12.2376","  0.6142","  0.0000"
"  66","    -71.0950","  -3271.3128","   74","  8.3529","  8.8234","  0.2201","  0.0000"
"  67","    -71.0950","  -4572.1416","  106","  5.9570","  8.2102","  0.4585","  0.0000"
"  68","    -71.0950","  -6127.4475","  155","  4.8529","  0.7510","  0.2278","  0.0000"
"  69","    -71.0950","  -3321.5911","   82"," 12.5256","  5.9657","  0.5644"," 25.0941"
"  70","    -71.0950","  -6342.8729","  123","  6.3010","  8.9701","  0.2416"," 25.1879"
"  71","    -71.0950","   -941.7747","   36","  8.5986","  2.6768","  0.7020"," 11.6608"
"  72","    -71.0950","   -708.6680","   22"," 10.4085","  4.0635","  0.9616"," 11.5234"
"  73","    -71.0950","  -3585.3816","   90"," 12.3894"," 10.2199","  0.5235"," 28.1601"
"  74","    -71.0950","  -5435.6879","  118","  9.5265","  3.0133","  0.4974"," 19.1051"
"  75","    -71.0950","  -3035.7268","  -79","  2.5243","  5.0032","  0.9809","  6.4870"
"  76","    -71.0950","  -2072.5734","   48"," 10.5151","  9.4859","  0.2042"," 49.4063"
"  77","    -71.0950","  -2661.5335","   66"," 13.5198","  2.5117","  0.4712"," 32.5744"
"  78","    -71.0950","  -3513.1683","   85","  7.7453","  4.0045","  0.5969"," 13.8479"
"  79","    -71.0950","  -7648.3918","  152","  9.5402","  0.7071","  0.4116"," 22.5797"
"  80","    -71.0950","  -3086.7324","  -79","  2.7157","  1.8885","  0.8821","  6.9028"
"  81","    -71.0950","  -1405.2124","   34"," 14.0738"," 11.0202","  0.1388"," 63.3690"
"  82","    -71.0950","  -1150.3993","   32"," 13.2123","  9.3074","  0.8932"," 14.7974"
"  83","    -71.0950","  -2894.7641","  -75","  1.3434"," 12.1051","  0.2503","  7.0504"
"  84","    -71.0950","  -3253.1938","   81"," 11.2083","  7.0195","  0.5070"," 25.4123"
"  85","    -71.0950","  -1520.9655","   39"," 14.7730","  1.6004","  0.0601"," 65.9943"
"  86","    -71.0950","  -9648.1235","  197","  5.9828","  0.4227","  0.2459"," 16.6919"
"  87","    -71.0950","  -1619.4407","  -60","  4.8880","  0.4992","  0.9411","  7.8366"
"  88","    -71.0950","  -2075.7211","   56"," 14.9916"," 13.4152","  0.7476"," 18.9606"
"  89","    -71.0950","  -1893.8361","   45"," 10.4241","  5.3523","  0.0685"," 55.4288"
"  90","    -71.0950","  -2709.6451","   62","  9.1440","  3.2597","  0.1914"," 42.3637"
"  91","    -71.0950","  -4892.7491","  117","  5.1975"," 12.6813","  0.3863"," 12.9736"
"  92","    -71.0950","  -2549.7059","   59","  9.0322"," 14.8467","  0.2182"," 43.5518"
"  93","    -71.0950","  -7447.0322","  152","  6.9473","  6.6941","  0.3001"," 24.3228"
"  94","    -71.0950","  -7580.9252","  156","  5.9979"," 11.6330","  0.2864"," 23.3021"
"  95","    -71.0950","  -3786.2064","   91"," 11.4605","  8.9683","  0.5819"," 23.2025"
"  96","    -71.0950","  -3987.6466","  -87","  0.8936","  2.3418","  0.1126","  8.1738"
"  97","    -71.0950","  -1646.4025","   41"," 11.8174","  2.9687","  0.1227"," 58.3266"
"  98","    -71.0950","  -1580.2495","   39"," 11.9749"," 15.0000","  0.0957"," 60.6942"
"  99","    -71.0950","  -2368.9976","   54","  9.1189","  3.5793","  0.1140"," 48.8348"
" 100","    -71.0950","  -6958.8427","  146","  7.1617","  3.5694","  0.3765"," 19.8445"
" 101","    -71.0950","  -2431.6827","   57"," 10.7318"," 13.1858","  0.3014"," 41.0451"
" 102","    -71.0950","  -1366.8250","   41","  9.2337","  9.5966","  0.7641"," 13.3394"
" 103","    -71.0950","  -6647.8108","  139","  6.6588","  7.5343","  0.3090"," 21.7270"
" 104","    -71.0950","  -2135.4427","   50","  9.4984","  6.2165","  0.1533"," 50.3541"
" 105","    -71.0950","  -1387.3904","   35"," 15.0000","  8.4947","  0.1623"," 63.8371"
" 106","    -71.0950","  -1772.4568","   43"," 13.2254","  5.8884","  0.2561"," 52.6687"
" 107","    -71.0950","  -5299.0699","  120","  4.9749"," 13.8198","  0.3678"," 14.0457"
" 108","    -71.0950","  -6194.4174","  130","  7.8549","  1.0250","  0.2938"," 25.4385"
" 109","    -71.0950","   -283.6101","  -29","  5.5272","  9.1307","  0.7867"," 10.1897"
" 110","    -71.0950","  -2400.1104","   62"," 13.7734","  3.6294","  0.4844"," 33.0941"
" 111","    -71.0950","  -5479.2438","  118","  8.8593","  3.7398","  0.5347"," 17.6701"
" 112","    -71.0950","  -1292.1807","  -53","  2.9211","  6.5705","  0.5697","  9.1476"
" 113","    -71.0950","  -2157.7254","   53"," 10.6569","  4.8278","  0.2458"," 47.3807"
" 114","    -71.0950","  -3110.4202","   78"," 13.3080"," 10.6732","  0.6323"," 25.1414"
" 115","    -71.0950","  -3331.8325","   90","  6.5318"," 10.1790","  0.4879"," 15.1106"
" 116","    -71.0950","  -2880.3308","   64","  8.8109","  1.6415","  0.1244"," 45.9950"
" 117","    -71.0950","  -3205.7437","   68","  7.4844","  4.9392","  0.1184"," 41.5691"
" 118","    -71.0950","  -6216.0738"," -107","  0.0568","  4.9301","  0.4274","  6.9619"
