"===================================================================================================="
"03/07/2020 01:19:12"
"python calibrate.py --seed tr0 --country GER --area TR --rollouts 96 --ninit 20 --niters 80 --load /lustre/home/hkremer/covid19-model/calibration/simulator/sim/logs/calibration_tr0_state.pk"
"===================================================================================================="
"Downsampling :                    5"
"Simulation population:            14506"
"Simulation population (unscaled): 72731"
"Area population :                 72731"
"Initial seed counts :             {'expo': 33, 'isym_posi': 10, 'iasy': 7}"
"Target cases per age group at t=0:   10.0 [0.0, 0.0, 1.0, 5.0, 2.0, 2.0]"
"Target cases per age group at t=T:   1118.0 [8.0, 22.0, 188.0, 409.0, 274.0, 217.0]"
"Daily test capacity in sim.:         103"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 1.5], 'beta_household': [0.0, 1.5], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-13 00:00:00"
"             ends at : 2020-05-05 00:00:00"
"Lockdown   starts at : 2020-03-23 00:00:00"
"             ends at : 2020-05-03 00:00:00"
"Cases compared until : 2020-05-03 00:00:00"
"            for days : 51"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
"  33"," -17147.1122","-543291.6124"," 1952","  0.5677","  1.2913","  0.1989","  0.0000"
"  34"," -17147.1122","-1465681.0814"," 2393","  1.4457","  0.4288","  0.3073","  0.0000"
"  35"," -17147.1122","-526825.7693","-1024","  0.1170","  1.2121","  0.7871","  0.0000"
"  36"," -17147.1122","-378157.0460"," -784","  0.2014","  0.9816","  0.1721","  0.0000"
"  37"," -17147.1122","-971058.9567"," 2396","  1.1692","  0.1255","  0.2268","  0.0000"
"  38"," -10013.4965"," -10013.4965","   48","  1.3632","  1.3134","  0.8378"," 60.3492"
"  39"," -10013.4965","-410034.7754"," -857","  0.1952","  1.2879","  0.2421"," 16.8644"
"  40"," -10013.4965","-321439.7972"," -819","  0.5757","  0.7648","  0.9078"," 18.8814"
"  41"," -10013.4965","-552535.5747","-1046","  0.0516","  1.3572","  0.7219","  7.2777"
"  42"," -10013.4965","-480098.0547"," -947","  0.4386","  0.0245","  0.2757"," 12.6698"
"  43"," -10013.4965"," -68397.1675"," -422","  1.1943","  0.6776","  0.9987"," 40.1176"
"  44"," -10013.4965","-569808.5632","-1060","  0.0024","  1.0216","  0.7506","  6.9737"
"  45"," -10013.4965"," -90973.4049"," -391","  0.8760","  0.5819","  0.7219"," 39.8379"
"  46"," -10013.4965","-424538.3775"," -901","  0.3241","  0.3726","  0.5639"," 16.1039"
"  47"," -10013.4965","-479917.9768"," -971","  0.1753","  1.1185","  0.4617"," 11.2338"
"  48"," -10013.4965","-1236281.1727"," 1950","  1.2122","  0.9148","  0.1550","305.2746"
"  49"," -10013.4965","-1313990.6522"," 2078","  1.0955","  1.2459","  0.1650","295.2058"
"  50"," -10013.4965","-1114770.9351"," 1735","  1.1847","  1.4737","  0.0630","327.2797"
"  51"," -10013.4965","-458208.4868"," -949","  0.2153","  0.7641","  0.5306"," 12.6121"
