"===================================================================================================="
"04/12/2020 19:09:40"
"python calibrate.py --seed tu0-beacon --country GER --area TU --rollouts 200 --ninit 20 --niters 80"
"===================================================================================================="
"Downsampling :                    10"
"Simulation population:            9054"
"Simulation population (unscaled): 90546"
"Area population :                 227331"
"Initial seed counts :             {'expo': 30, 'isym_posi': 9, 'iasy': 6}"
"Target cases per age group at t=0:   9.0 [0.0, 1.0, 2.0, 5.0, 1.0, 0.0]"
"Target cases per age group at t=T:   491.0 [4.0, 6.0, 128.0, 196.0, 96.0, 61.0]"
"Daily test capacity in sim.:         72"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 0.20000000298023224], 'beta_household': [0.0, 0.20000000298023224], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-12 00:00:00"
"             ends at : 2020-05-05 00:00:00"
"Lockdown   starts at : 2020-03-23 00:00:00"
"             ends at : 2020-05-03 00:00:00"
"Cases compared until : 2020-05-03 00:00:00"
"            for days : 52"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
"  34","   -620.9326","-1456218.1979"," 2359","  0.1166","  0.1715","  0.2311"," 73.4394"
"  35","   -620.9326","-895096.9744"," 1389","  0.1635","  0.1206","  0.7492"," 48.1850"
"  36","   -620.9326","-1073146.9790"," 1699","  0.1750","  0.1414","  0.6028"," 65.5398"
"  37","   -620.9326"," -28535.2566"," -250","  0.0390","  0.0446","  0.8353","  9.8211"
"  38","   -620.9326","-1422993.7155"," 2350","  0.1327","  0.0285","  0.2878"," 66.4222"
"  39","   -620.9326","-722935.2600"," 1152","  0.1801","  0.1972","  0.2593","102.5573"
"  40","   -620.9326","-1433700.9090"," 2404","  0.1125","  0.0600","  0.1411"," 75.0048"
"  41","   -620.9326","-864388.8616"," 1443","  0.1983","  0.1410","  0.6248"," 72.7539"
"  42","   -620.9326","-847747.8979"," 1334","  0.1736","  0.1038","  0.3529"," 88.6088"
"  43","   -620.9326","-777509.9455"," 1232","  0.1593","  0.1582","  0.1292","106.2534"
"  44","   -620.9326","-876087.3260"," 1645","  0.1109","  0.0406","  0.3290"," 50.9535"
"  45","   -620.9326","-1364873.1176"," 2172","  0.1911","  0.0216","  0.4859"," 68.5845"
"  46","   -620.9326"," -66910.5237","  515","  0.0608","  0.0458","  0.1874"," 25.3705"
"  47","   -620.9326"," -54863.6194"," -335","  0.0248","  0.0831","  1.0000","  8.0159"
"  48","   -620.9326","-1205391.3431"," 1883","  0.1565","  0.1791","  0.5224"," 64.7212"
"  49","   -620.9326"," -36610.4089"," -281","  0.0327","  0.0991","  0.9593","  9.4969"
