"===================================================================================================="
"30/01/2021 16:14:35"
"python calibrate.py --seed be0 --country CH --area BE --rollouts 200 --ninit 10 --niters 90 --plot-fit --init-explore-corner-settings"
"===================================================================================================="
"Downsampling :                    1"
"Simulation population:            133790"
"Simulation population (unscaled): 133791"
"Area population :                 1034977"
"Initial seed counts :             {'expo': 17, 'isym_posi': 5, 'iasy': 3}"
"Target cases per age group at t=0:   5.0 [0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
"Target cases per age group at t=T:   235.0 [1.0, 9.0, 36.0, 33.0, 35.0, 48.0, 28.0, 18.0, 27.0]"
"Daily test capacity in sim.:         100000"
"Parameters : 2"
"Parameter bounds: {'beta_site': [0.0, 0.10000000149011612], 'beta_household': [0.0, 0.25]}"
"Fixed lockdown mob. reduction: {'education': 0.3775, 'social': 0.6853571428571429, 'bus_stop': 0.4919642857142857, 'office': 0.3775, 'supermarket': 0.12410714285714286}"
"Simulation starts at : 2020-03-06 00:00:00"
"             ends at : 2020-05-12 00:00:00"
"Lockdown   starts at : 2020-03-16 00:00:00"
"             ends at : 2020-05-10 00:00:00"
"Cases compared until : 2020-05-10 00:00:00"
"            for days : 65"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","walltime"
"  45","   -149.385864","-496799.968750"," 1245","  0.0312","  0.0935"," 40.4235"
"  46","   -149.385864","-1020449.125000"," 1865","  0.0348","  0.1450"," 42.4741"
"  47","   -149.385864","-8404389.000000"," 5773","  0.0459","  0.2453"," 51.8990"
"  48","   -149.385864","-115096.445312","  560","  0.0260","  0.0862"," 39.4180"
"  49","   -149.385864","-442639.750000"," 1173","  0.0308","  0.1081"," 41.9215"
"  50","   -149.385864","-1230268.250000"," 2303","  0.0449","  0.0147"," 43.0534"
"  51","   -149.385864"," -21498.556641"," -212","  0.0084","  0.0000"," 37.6780"
"  52","   -149.385864"," -19383.166016"," -204","  0.0000","  0.2046"," 37.9908"
"  53","   -149.385864","-6513452.500000"," 5516","  0.0532","  0.0251"," 51.3134"
"  54","   -149.385864"," -40469.832031","  303","  0.0216","  0.1412"," 40.1082"
"  55","   -149.385864","-537132.562500"," 1262","  0.0302","  0.2078"," 42.4981"
